"CODE","ALT"
1,"alinson"
1,"allinson"
1,"allinsons"
1,"allison"
2,"ALPENCRUNCHY"
2,"ALPENLOWFAT"
2,"ALPIN"
2,"ALPINENOSUGAR"
2,"APLINE"
2,"alpen"
3,"occasionallyasda"
3,"ASDAEXTRAFRUIT"
3,"ASDAGOODFORYOU"
3,"ASDAHEALTHYLIVING"
3,"ASDAORGANIC"
3,"ASDAOWNLOWFAT"
3,"ASDASMARTPRICE"
3,"asd"
3,"asda"
3,"asda3timesaweek"
3,"asdacereal"
3,"asdafarmstore"
3,"asdahealthyeating"
3,"asdanoaddedsugar"
3,"asdaownmake"
3,"asdaswissstyle"
3,"asdfarmsstores"
3,"asta"
4,"beemax"
4,"bemax"
5,"birds"
5,"birdseye"
6,"budgen"
6,"budgens"
6,"budgensbrand"
6,"budgensbreakfastclub"
6,"budgeons"
7,"branfair"
7,"branfare"
8,"cerealpartnersuk"
9,"cheerios"
10,"cheshireluxury"
10,"cheshirewholefood"
10,"cheshirewholefoods"
11,"COOPNOSUGAR"
11,"COOPOWNMAKE"
11,"FROMACOOPERATIVE"
11,"cocp"
11,"coop"
11,"coopltd"
11,"scoopownbrand"
11,"storesowncoopsains"
13,"FAIRTRADE"
13,"fairtrading"
14,"familia"
15,"familychoice"
16,"farmhouse"
17,"force"
18,"TESCOMALTWHEAT"
18,"gateway"
18,"gateways"
19,"GRENOLA"
19,"MIDFIELDSGRANOLA"
19,"granola"
20,"grannose"
20,"granose"
21,"happyshopper"
22,"harisons"
22,"harrisons"
23,"ARJUNASOWN"
23,"ARJUNIA"
23,"BUMBLEBEELOCALHEALTHF"
23,"BUMBLEBEEORGANIC"
23,"BUMBLEBEEORGANICFOODSH"
23,"BUMBLEBEESHOPS"
23,"BUMBLEE"
23,"FROMHEALTHFOODSTORE"
23,"HEALTHFOODSHOPBUMBELBE"
23,"JULIANGRAVES"
23,"LOCALSUPPLIERBUMBLEBEE"
23,"NELSYARD"
23,"WHOLEGRAINOWNBRANDFROMHEALTHFOODSTORE"
23,"arjunaiewholefood"
23,"arjunawholefoodown"
23,"arjunawholefoodstore"
23,"healthstore"
23,"healthstoreorwayland"
23,"healthstoreslocal"
23,"hollandbarret"
23,"hollandbarretts"
23,"hollbarr"
23,"localhalthfoodstore"
23,"localhealthfoodmix"
23,"localhealthfoodstore"
23,"localwholefoodshops"
23,"wholesalehealthstore"
23,"wymondhamhealthfood"
24,"ownbrandhealthfoodshop"
24,"rainbowalmondand"
24,"rainbowfoodshealthfood"
24,"rainbowfoodsown"
24,"rainbowhazelmalt"
24,"rainbowhealth"
24,"rainbowhealthfoods"
24,"rainbowownbrand"
24,"rainbowsown"
24,"rainbowsuperbowl"
24,"rainbowwholefoodorganic"
24,"rainbowwholefoodsltd"
24,"ARJUNAHEALTHFOODSHOP"
24,"ARJUNAS"
24,"HEALTHFOODSHOPBASEFR"
24,"HEALTHFOODSHOPONES"
24,"HEALTHFOODSHOPSOWNMA"
24,"HEALTHSHOPBRAND"
24,"HEALTHSHOPOWN"
24,"HEALTHSHOPOWNLABEL"
24,"HOLLANDANDBARRETTS"
24,"HOLLANDBARRAT"
24,"HOLLANDBARRETS"
24,"HOLLANDBARRETTWHEATF"
24,"disswholefoodstores"
24,"hbglutenfree"
24,"hbnaturesharvest"
24,"healthfoodmix"
24,"healthfoodshopspecial"
24,"healthfoodstoresown"
24,"healthshopmixed"
24,"healthshoporganic"
24,"healthshopownbrand"
24,"healthshopsownmixture"
24,"heatlhshop"
24,"helathshopown"
24,"localhealthshopown"
24,"localhealthshopproduce"
24,"localhealthshopsblend"
24,"localhealthshopsown"
24,"localhealthspa"
24,"locallymadeunsweetened"
24,"localshopmixture"
24,"madeupinhealthshop"
24,"mixbyrainbowwholefoods"
24,"unbrandedhealthfoodshop"
24,"villagehealthshop"
25,"hollymill"
26,"ICELANDITHINK"
26,"ICELANDSOWN"
26,"iceland"
26,"icelandwholemeal"
26,"icelandwholewheat"
27,"JARDONS"
27,"JORDANORGANICSWISSSTYL"
27,"JORDANSCRUNCYOAT"
27,"JORDANSGLUTENFREE"
27,"JORDANSLUX"
27,"JORDANSNOSUGARORSALT"
27,"JORDANSNUTRAISIN"
27,"JORDANSORGANICGRUNCH"
27,"JORDANSSPECIALFRUIT"
27,"JORDANSWHEATGERM"
27,"JORDEN"
27,"JORDENS"
27,"JORDON"
27,"JORDONSCRUNCH"
27,"JORDONSORGANIC"
27,"JORDONSORGANICCRUNCH"
27,"JORDONSORIGINAL"
27,"JORDOWN"
27,"JORNDAN"
27,"ORGANICJORDANS"
27,"joprdans"
27,"jordadns"
27,"jordand"
27,"jordans"
27,"jordanscountry"
27,"jordanscrunchyoat"
27,"jordansluxury"
27,"jordansnoaddedsalt"
27,"jordansoriginal"
27,"jordanss"
27,"jordanswithstrawberries"
27,"mixedincjordans"
27,"vordans"
28,"occasionallykelloggs"
28,"BRANFLAKESKELLOGS"
28,"JGKELLOGGS"
28,"KALLOGGS"
28,"KALOGES"
28,"KELGOGGS"
28,"KELLLGGS"
28,"KELLOGE"
28,"KELLOGGSBRANDS"
28,"KELLOGGSSHRL"
28,"KELLOGGSWEIGHTLOSS"
28,"KELLOGHS"
28,"KELLOGSHONEYNUT"
28,"KELLOGSLOWFAT"
28,"KELLOGSORSIMILAR"
28,"KELLOGSS"
28,"KELLOGTGS"
28,"KELLOGYS"
28,"KELLOPG"
28,"KELLOS"
28,"KELOGES"
28,"KOLLOGGS"
28,"KOLLOGS"
28,"aboutonceaweekkellogs"
28,"eklloggs"
28,"felloggs"
28,"kellgos"
28,"kellloggs"
28,"kellods"
28,"kellofs"
28,"kellog"
28,"kelloga"
28,"kellogg"
28,"kelloggs"
28,"kelloggs2daysweek"
28,"kelloggsassortedpacks"
28,"kelloggsbran"
28,"kelloggsbrand"
28,"kelloggsbreakfastclub"
28,"kelloggscommomsense"
28,"kelloggshalfservingsze"
28,"kelloggshealth"
28,"kelloggsorganic"
28,"kelloggsselectionpacks"
28,"kelloggssometimes"
28,"kelloggssummermonths"
28,"kellogs"
28,"kellogs2or3perweek"
28,"kellogsgs"
28,"kellogshealthw"
28,"kellogskberries"
28,"kellogssains"
28,"kellohgs"
28,"kellopgs"
28,"keloggs"
28,"kelogs"
28,"keolloggs"
28,"kwlloggs"
28,"lelloggs"
28,"sometimeskelloggs"
28,"weekendskelloggs"
29,"braftjacobsuchami5"
29,"kraft"
29,"kraftfoods"
29,"kraftjacobssuehardltd"
29,"trarderaft"
30,"londis"
30,"londishealthfoodshop"
30,"londisownmix"
31,"lyons"
32,"m&s"
32,"markandspencer"
32,"marks&spencer"
33,"mapletons"
34,"marshalls"
34,"marshallsryecroftfoods"
34,"marshals"
35,"morflake"
35,"morlake"
36,"nornflake"
36,"MORNFLAK"
36,"MORNFLAKEORGANIC"
36,"MORNFLAKEWALNUTMAPLE"
36,"MORUFLAKE"
36,"MORUFLAKEORGANIC"
36,"mornflakehawaiian"
36,"mornflakes"
36,"mornflakes5"
36,"mornflakesorganic"
36,"mornflakessuperfast"
37,"nabisico"
37,"nabiso"
37,"nabisvo"
37,"HABISCO"
37,"NABISEO"
37,"NIBISCO"
37,"NIBSCO"
37,"nabisco"
37,"nabiscoduringsummer"
38,"neastle"
38,"neatle"
38,"neatles"
38,"nesllte"
38,"neslte"
38,"nesltes"
38,"nestle"
38,"nestlebitesize"
38,"nestlebitesized"
38,"nestleix"
38,"nestles"
38,"nestlevaritypack"
38,"nestlewholegrain"
38,"netlte"
38,"netsle"
38,"newstle"
38,"nowfor3monthsnestle"
38,"LNESTLE"
38,"NESELS"
38,"NESILES"
38,"NESTLEOR"
38,"NESTLEQUAKEROATS"
38,"NNESTLES"
38,"brandnestle"
38,"mestle"
38,"wasfor9monthsnestle"
39,"nisa"
39,"nisabreakfastclub"
39,"nisasugarfree"
40,"pearceduf"
40,"pearceduff"
40,"pearseduf"
40,"pearseduff"
41,"prewets"
41,"prewetts"
41,"prewits"
42,"quackr"
42,"quaker"
42,"quakers"
42,"quker"
42,"Q"
42,"wuakers"
43,"safe"
43,"safeway"
43,"safewaydeluxe"
43,"safewayluxury"
43,"safewayownbrand"
43,"safewayreducedfat"
43,"safeways"
43,"safewaysunsweetened"
44,"sainbsurys"
44,"sainbury"
44,"sainburys"
44,"sainsbalance"
44,"sainsbirys"
44,"sainsbury"
44,"sainsburyecono"
44,"sainsburyorigianl"
44,"sainsburyownbrand"
44,"sainsburys"
44,"sainsburysbitesize"
44,"sainsburysbrand"
44,"sainsburyscottish"
44,"sainsburyshealthy"
44,"sainsburysluxury50"
44,"sainsburysnatural"
44,"sainsburysnosugarsalt"
44,"sainsburysownbrand"
44,"sainsburysownmake"
44,"sainsburysswissstyle"
44,"sainsburysunsweetened"
44,"sainsburysuxury"
44,"sainsburyus"
44,"sainslowfat"
44,"sainsluxury"
44,"sainsurys"
44,"sainswithaddedfruit"
44,"saisbury"
44,"saisburys"
44,"saisnburyscrunchy"
44,"saisnburysdeluxe"
44,"saisnburyseconomy"
44,"saisnburysoriginal"
44,"saisnburysownbrand"
44,"BEGOODTOYOURSELF"
44,"FROMCOELIACSECTIONSAINSBURYSNO"
44,"JSAINSBURY"
44,"JSAINSBURYS"
44,"ORGANICSAINBURYS"
44,"ORGANICSAINSBURYS"
44,"SAINBSBURY"
44,"SAINBURYSBEGOODTOYOUR"
44,"SAINDSBURYS"
44,"SAINSBURGH"
44,"SAINSBURGY"
44,"SAINSBURYORGANIC"
44,"SAINSBURYS""BEGOODTOYO"
44,"SAINSBURYSBASIC"
44,"SAINSBURYSGOOD4U"
44,"SAINSBURYSORGANICALLYPR"
44,"SAINSBURYSSWISS"
44,"SAINSBURYYS"
44,"SAISBURYSOWNBRAND"
44,"SANBURYS"
44,"SORGANIC"
44,"sanisbury"
44,"sanisburys"
44,"saunsburys"
44,"wdaysonlysains"
45,"SCOT"
45,"SCOTTSOLDFASHIONED"
45,"SCOTTSORSHOPBRAND"
45,"SLOTTS"
45,"scots"
45,"scotts"
45,"scottsalue"
45,"scptts"
46,"somerville"
46,"sommerville"
47,"occasionallysomerfield"
47,"HEALTHYCHOICESOMERFIELD"
47,"SOMERFIELDREDUCEDSUGAR"
47,"SUMERFIELD"
47,"comerfield"
47,"soemrefields"
47,"soemrfield"
47,"soemrfieldownbrand"
47,"soemrfields"
47,"somerfeldheathlyselect"
47,"somerffield"
47,"somerfield"
47,"somerfieldcrunchynut"
47,"somerfieldhealthselect"
47,"somerfieldhealthyeating"
47,"somerfieldhealthyselec"
47,"somerfieldhoneydew"
47,"somerfieldluxury"
47,"somerfieldsbrand"
47,"somerfieldsometimes"
47,"somerfiledhealthyoption"
47,"sommerfield"
47,"sommerfieldsownbrand"
47,"summerfield"
47,"summerfieldbasic"
47,"summerfieldownbrand"
48,"spar"
49,"sunvalley"
50,"sunblast"
50,"sunbless"
50,"sunblest"
50,"sunblestswissstyle"
51,"sunnyjim"
52,"HEALTHYEASTINGTESCO"
52,"NONAMETESCOBRAND"
52,"NOSUGARNOSALTTESCO"
52,"TESCODRIED"
52,"TESCOFINEST"
52,"TESCOFRUITY"
52,"TESCOHE"
52,"TESCOHEALTHEATING"
52,"TESCOHEALTHYLIVING"
52,"TESCOHEALTHYLIVINGORVALUE"
52,"TESCOHOMEBRAND"
52,"TESCOLIGHTER"
52,"TESCOLOWSUGAR"
52,"TESCOLOWSUGARSALT"
52,"TESCOLUXURYMUESLI"
52,"TESCOMIX"
52,"TESCON"
52,"TESCONOADDEDSUGARORSALT"
52,"TESCONOSUGAR"
52,"TESCOOWNBRANDVALUEPLAI"
52,"TESCOOWNMAKE"
52,"TESCOPO"
52,"TESCOSCOTTISH"
