"CODE","FOOD_CODE","DESC","WEIGHT"
1,68,"CommonSense Oatbranflakes",1
2,75,"Oat and Wheat Bran",1
3,79,"Raisin Splitz",1
4,11127,"Branbuds",1
5,11128,"Branflakes",1
6,11129,"Cocopops",1
7,11130,"Cornflakes",1
8,11131,"Crunchy nut Cornflakes",1
9,11133,"Frosties",1
10,11134,"Fruit n Fibre",1
11,11135,"Grapenuts",1
12,11136,"Honey Smacks",1
13,11137,"Muesli",2
14,11144,"Puffed Wheat",1
15,11146,"Rice Crispies",1
16,11147,"Ricicles",1
17,11148,"Shredded Wheat",1
18,11149,"Shreddies",1
19,11150,"Special K",1
20,11151,"Start",1
21,11152,"Sugar Puffs",1
22,11153,"Sultana Bran",1
23,11154,"Weetabix",1
24,11155,"Weetaflakes",1
25,11157,"Weetos",1
26,11126,"All Bran",1
27,a1361,"Crunchy Oat Cereal",1
28,a1362,"Cereal non specific",1
29,11018,"Oats, quick cook",1
30,11140,"Nutri-Grain",1
