FOOD_CODE,NUTRIENT,QUANTITY
1064 ,001 ,0.00
1064 ,002 ,0.00
1064 ,005 ,0.00
1064 ,008 ,33.00
1064 ,009 ,0.00
1064 ,011 ,77.40
1064 ,012 ,0.00
1064 ,013 ,130.00
1064 ,015 ,1.10
1064 ,020 ,0.00
1064 ,022 ,2.40
1064 ,055 ,10.00
1064 ,063 ,410.00
1064 ,064 ,366.00
1064 ,065 ,1554.00
1064 ,069 ,150.00
1064 ,072 ,250.00
1064 ,074 ,0.50
1064 ,077 ,190.00
1064 ,083 ,5.50
1064 ,086 ,0.00
1064 ,088 ,0.00
1064 ,089 ,0.04
1064 ,092 ,3.00
1064 ,097 ,3.60
1064 ,099 ,0.06
1064 ,100 ,1.04
1064 ,101 ,73.80
1064 ,103 ,0.00
1064 ,104 ,0.02
1064 ,105 ,0.00
1064 ,106 ,0.00
1064 ,107 ,0.18
1064 ,109 ,1.90
1064 ,600 ,6.00
1064 ,601 ,1.87
1064 ,603 ,0.31
1064 ,607 ,3.53
1064 ,908 ,100.00
11017 ,008 ,55.00
11017 ,011 ,72.80
11017 ,013 ,73.00
11017 ,015 ,0.23
11017 ,020 ,6.80
11017 ,022 ,4.10
11017 ,055 ,60.00
11017 ,063 ,370.00
11017 ,064 ,401.00
11017 ,065 ,1698.00
11017 ,066 ,0.00
11017 ,069 ,110.00
11017 ,070 ,3.70
11017 ,072 ,33.00
11017 ,074 ,1.00
11017 ,077 ,380.00
11017 ,083 ,12.40
11017 ,088 ,0.00
11017 ,089 ,0.10
11017 ,092 ,3.00
11017 ,097 ,72.80
11017 ,099 ,0.50
11017 ,100 ,2.12
11017 ,103 ,0.00
11017 ,104 ,0.12
11017 ,105 ,0.00
11017 ,106 ,0.00
11017 ,107 ,1.70
11017 ,109 ,3.30
11017 ,600 ,8.70
11017 ,601 ,3.16
11017 ,603 ,3.51
11017 ,607 ,1.52
11017 ,901 ,100.00
11018 ,001 ,0.00
11018 ,005 ,0.00
11018 ,008 ,52.00
11018 ,009 ,0.00
11018 ,011 ,66.00
11018 ,013 ,25.00
11018 ,015 ,0.49
11018 ,020 ,7.10
11018 ,022 ,3.80
11018 ,055 ,60.00
11018 ,063 ,350.00
11018 ,064 ,375.00
11018 ,065 ,1587.00
11018 ,066 ,0.00
11018 ,068 ,0.30
11018 ,069 ,110.00
11018 ,070 ,3.90
11018 ,072 ,9.00
11018 ,074 ,0.80
11018 ,077 ,380.00
11018 ,083 ,11.20
11018 ,086 ,0.00
11018 ,088 ,0.00
11018 ,089 ,0.09
11018 ,092 ,3.00
11018 ,097 ,64.90
11018 ,098 ,0.80
11018 ,099 ,0.90
11018 ,100 ,1.92
11018 ,101 ,1.10
11018 ,103 ,0.00
11018 ,104 ,0.33
11018 ,105 ,0.00
11018 ,106 ,0.00
11018 ,107 ,1.50
11018 ,109 ,3.30
11018 ,600 ,9.20
11018 ,601 ,3.34
11018 ,603 ,3.71
11018 ,607 ,1.61
11018 ,901 ,100.00
11034 ,001 ,0.00
11034 ,005 ,0.00
11034 ,008 ,55.00
11034 ,009 ,0.00
11034 ,011 ,44.70
11034 ,013 ,80.00
11034 ,015 ,0.90
11034 ,020 ,15.60
11034 ,022 ,8.50
11034 ,055 ,331.00
11034 ,056 ,0.50
11034 ,058 ,0.70
11034 ,063 ,950.00
11034 ,064 ,302.00
11034 ,065 ,1276.00
11034 ,066 ,0.00
11034 ,068 ,0.00
11034 ,069 ,270.00
11034 ,070 ,12.30
11034 ,072 ,5.00
11034 ,074 ,4.50
11034 ,077 ,1050.00
11034 ,083 ,26.70
11034 ,086 ,0.00
11034 ,088 ,0.00
11034 ,089 ,0.72
11034 ,092 ,3.00
11034 ,097 ,28.70
11034 ,098 ,14.80
11034 ,099 ,2.01
11034 ,100 ,4.54
11034 ,101 ,16.00
11034 ,103 ,0.00
11034 ,104 ,3.30
11034 ,105 ,0.00
11034 ,106 ,0.00
11034 ,107 ,22.00
11034 ,109 ,17.00
11034 ,600 ,9.20
11034 ,601 ,1.33
11034 ,603 ,4.95
11034 ,607 ,1.59
11034 ,901 ,100.00
11036 ,001 ,0.00
11036 ,005 ,0.00
11036 ,008 ,4.00
11036 ,009 ,0.00
11036 ,011 ,32.10
11036 ,012 ,0.00
11036 ,013 ,91.00
11036 ,015 ,0.33
11036 ,020 ,0.30
11036 ,022 ,0.50
11036 ,055 ,10.00
11036 ,058 ,0.20
11036 ,063 ,99.00
11036 ,064 ,141.00
11036 ,065 ,597.00
11036 ,066 ,0.00
11036 ,068 ,0.00
11036 ,069 ,43.00
11036 ,070 ,0.90
11036 ,072 ,1.00
11036 ,074 ,1.30
11036 ,077 ,120.00
11036 ,083 ,2.60
11036 ,086 ,0.00
11036 ,088 ,0.00
11036 ,089 ,0.02
11036 ,092 ,4.00
11036 ,097 ,31.60
11036 ,098 ,0.30
11036 ,099 ,0.14
11036 ,100 ,0.43
11036 ,101 ,0.50
11036 ,103 ,0.00
11036 ,105 ,0.00
11036 ,106 ,0.00
11036 ,107 ,0.30
11036 ,109 ,0.70
11036 ,600 ,1.10
11036 ,601 ,0.26
11036 ,603 ,0.39
11036 ,607 ,0.29
11036 ,901 ,100.00
11043 ,001 ,0.00
11043 ,005 ,0.00
11043 ,008 ,18.00
11043 ,009 ,0.00
11043 ,011 ,30.90
11043 ,012 ,0.00
11043 ,013 ,4.00
11043 ,015 ,0.13
11043 ,020 ,0.10
11043 ,022 ,0.20
11043 ,055 ,4.00
11043 ,061 ,5.00
11043 ,063 ,54.00
11043 ,064 ,138.00
11043 ,065 ,587.00
11043 ,066 ,0.00
11043 ,068 ,0.00
11043 ,069 ,11.00
11043 ,070 ,0.20
11043 ,072 ,1.00
11043 ,074 ,0.90
11043 ,077 ,54.00
11043 ,083 ,2.60
11043 ,086 ,0.00
11043 ,088 ,0.00
11043 ,092 ,5.00
11043 ,097 ,30.90
11043 ,099 ,0.01
11043 ,100 ,0.44
11043 ,103 ,0.00
11043 ,104 ,0.07
11043 ,105 ,0.00
11043 ,106 ,0.00
11043 ,107 ,0.10
11043 ,109 ,0.70
11043 ,600 ,1.30
11043 ,601 ,0.33
11043 ,603 ,0.47
11043 ,607 ,0.31
11043 ,901 ,100.00
11062 ,001 ,0.00
11062 ,005 ,0.00
11062 ,008 ,7.00
11062 ,009 ,0.00
11062 ,011 ,22.20
11062 ,012 ,0.00
11062 ,015 ,0.10
11062 ,020 ,1.20
11062 ,022 ,0.50
11062 ,055 ,4.00
