"MEAL_ID","FOOD_CODE","PORTION"
26,"17013",8.00
26,"17010",8.00
26,"a7024",8.00
26,"17031",8.00
26,"17033",8.00
26,"17034",8.00
26,"17038",8.00
26,"17039",8.00
26,"17040",8.00
26,"17041",8.00
26,"17042",8.00
26,"17043",8.00
26,"17044",8.00
26,"17045",8.00
26,"a7022",8.00
26,"17036",8.00
26,"17046",8.00
26,"17007",8.00
26,"17008",8.00
26,"17009",8.00
26,"a7021",8.00
26,"17020",8.00
26,"17021",8.00
26,"17047",8.00
26,"a7026",8.00
26,"17020",8.00
26,"17015",8.00
26,"17026",8.00
26,"17028",8.00
26,"17018",8.00
26,"17019",8.00
26,"17027",8.00
26,"17025",8.00
26,"17024",8.00
26,"17037",8.00
26,"17023",8.00
27,"17013",3.00
27,"17010",3.00
27,"a7024",3.00
27,"17031",3.00
27,"17033",3.00
27,"17034",3.00
27,"17038",3.00
27,"17039",3.00
27,"17040",3.00
27,"17041",3.00
27,"17042",3.00
27,"17043",3.00
27,"17044",3.00
27,"17045",3.00
27,"a7022",3.00
27,"17036",3.00
27,"17046",3.00
27,"17007",3.00
27,"17008",3.00
27,"17009",3.00
27,"a7021",3.00
27,"17020",3.00
27,"17021",3.00
27,"17047",3.00
27,"a7026",3.00
27,"17020",3.00
27,"17015",3.00
27,"17026",3.00
27,"17028",3.00
27,"17018",3.00
27,"17019",3.00
27,"17027",3.00
27,"17025",3.00
27,"17024",3.00
27,"17037",3.00
27,"17023",3.00
10,"17013",1.00
10,"17010",1.00
10,"a7024",1.00
10,"17031",1.00
10,"17033",1.00
10,"17034",1.00
10,"17038",1.00
10,"17039",1.00
10,"17040",1.00
10,"17041",1.00
10,"17042",1.00
10,"17043",1.00
10,"17044",1.00
10,"17045",1.00
10,"a7022",1.00
10,"17036",1.00
10,"17046",1.00
10,"17007",1.00
10,"17008",1.00
10,"17009",1.00
10,"a7021",1.00
10,"17020",1.00
10,"17021",1.00
10,"17047",1.00
10,"a7026",1.00
10,"17020",1.00
10,"17015",1.00
10,"17026",1.00
10,"17028",1.00
10,"17018",1.00
10,"17019",1.00
10,"17027",1.00
10,"17025",1.00
10,"17024",1.00
10,"17037",1.00
10,"17023",1.00
56,"17013",13.00
56,"17010",13.00
56,"a7024",13.00
56,"17031",13.00
56,"17033",13.00
56,"17034",13.00
56,"17038",13.00
56,"17039",13.00
56,"17040",13.00
56,"17041",13.00
56,"17042",13.00
56,"17043",13.00
56,"17044",13.00
56,"17045",13.00
56,"a7022",13.00
56,"17036",13.00
56,"17046",13.00
56,"17007",13.00
56,"17008",13.00
56,"17009",13.00
56,"a7021",13.00
56,"17020",13.00
56,"17021",13.00
56,"17047",13.00
56,"a7026",13.00
56,"17020",13.00
56,"17015",13.00
56,"17026",13.00
56,"17028",13.00
56,"17018",13.00
56,"17019",13.00
56,"17027",13.00
56,"17025",13.00
56,"17024",13.00
56,"17037",13.00
56,"17023",13.00
58,"17013",13.00
58,"17010",13.00
58,"a7024",13.00
58,"17031",13.00
58,"17033",13.00
58,"17034",13.00
58,"17038",13.00
58,"17039",13.00
58,"17040",13.00
58,"17041",13.00
58,"17042",13.00
58,"17043",13.00
58,"17044",13.00
58,"17045",13.00
58,"a7022",13.00
58,"17036",13.00
58,"17046",13.00
58,"17007",13.00
58,"17008",13.00
58,"17009",13.00
58,"a7021",13.00
58,"17020",13.00
58,"17021",13.00
58,"17047",13.00
58,"a7026",13.00
58,"17020",13.00
58,"17015",13.00
58,"17026",13.00
58,"17028",13.00
58,"17018",13.00
58,"17019",13.00
58,"17027",13.00
58,"17025",13.00
58,"17024",13.00
58,"17037",13.00
58,"17023",13.00
60,"17013",13.00
60,"17010",13.00
60,"a7024",13.00
60,"17031",13.00
60,"17033",13.00
60,"17034",13.00
60,"17038",13.00
60,"17039",13.00
60,"17040",13.00
60,"17041",13.00
60,"17042",13.00
60,"17043",13.00
60,"17044",13.00
60,"17045",13.00
60,"a7022",13.00
60,"17036",13.00
60,"17046",13.00
60,"17007",13.00
60,"17008",13.00
60,"17009",13.00
60,"a7021",13.00
60,"17020",13.00
60,"17021",13.00
60,"17047",13.00
60,"a7026",13.00
60,"17020",13.00
60,"17015",13.00
60,"17026",13.00
60,"17028",13.00
60,"17018",13.00
60,"17019",13.00
60,"17027",13.00
60,"17025",13.00
60,"17024",13.00
60,"17037",13.00
60,"17023",13.00
62,"17013",29.00
62,"17010",29.00
62,"a7024",29.00
62,"17031",29.00
62,"17033",29.00
62,"17034",29.00
62,"17038",29.00
62,"17039",29.00
62,"17040",29.00
62,"17041",29.00
62,"17042",29.00
62,"17043",29.00
62,"17044",29.00
62,"17045",29.00
62,"a7022",29.00
62,"17036",29.00
62,"17046",29.00
62,"17007",29.00
62,"17008",29.00
62,"17009",29.00
62,"a7021",29.00
62,"17020",29.00
62,"17021",29.00
62,"17047",29.00
62,"a7026",29.00
62,"17020",29.00
62,"17015",29.00
62,"17026",29.00
62,"17028",29.00
62,"17018",29.00
62,"17019",29.00
62,"17027",29.00
62,"17025",29.00
62,"17024",29.00
62,"17037",29.00
62,"17023",29.00
74,"17013",2.00
74,"17010",2.00
74,"a7024",2.00
74,"17031",2.00
74,"17033",2.00
74,"17034",2.00
74,"17038",2.00
74,"17039",2.00
74,"17040",2.00
74,"17041",2.00
74,"17042",2.00
74,"17043",2.00
74,"17044",2.00
74,"17045",2.00
74,"a7022",2.00
74,"17036",2.00
74,"17046",2.00
74,"17007",2.00
74,"17008",2.00
74,"17009",2.00
74,"a7021",2.00
74,"17020",2.00
74,"17021",2.00
74,"17047",2.00
74,"a7026",2.00
74,"17020",2.00
74,"17015",2.00
74,"17026",2.00
74,"17028",2.00
74,"17018",2.00
74,"17019",2.00
74,"17027",2.00
74,"17025",2.00
74,"17024",2.00
74,"17037",2.00
74,"17023",2.00
