FOOD_CODE,NUTRIENT,QUANTITY
1064,001,0
1064,002,0
1064,005,0
1064,008,33
1064,009,0
1064,011,77.4
1064,012,0
1064,013,130
1064,015,1.1
1064,017,13.33
1064,019,1.65
1064,020,0
11018,001,0
11018,005,0
11018,008,52
11018,009,0
11018,011,66
11018,013,25
11018,015,0.49
11018,020,7.1
11036,001,0
11036,005,0
11036,008,4
11036,009,0
11036,011,32.1
11036,012,0
11036,013,91
11036,015,0.33
11036,020,0.3
11043,001,0
11043,005,0
11043,008,18
11043,009,0
11043,011,30.9
11043,012,0
11043,013,4
11043,015,0.13
11043,020,0.1
11062,001,0
11062,005,0
11062,008,7
11062,009,0
11062,011,22.2
11062,012,0
11062,013,-99
11062,015,0.1
11062,020,1.2
11064,001,0
11064,005,0
11064,008,11
11064,009,0
11064,011,23.2
11064,012,0
11064,013,73
11064,015,0.18
11064,020,2.8
11070,001,0
11070,005,0
11070,008,100
11070,009,0
11070,011,44.3
11070,012,0
11070,013,890
11070,015,0.16
11070,020,3.5
11099,001,0
11099,005,0
11099,008,110
11099,009,0
11099,011,49.3
11099,012,0
11099,013,820
11099,015,0.19
11099,020,1.6
11113,001,0
11113,005,0
11113,008,54
11113,009,0
11113,011,41.6
11113,012,0
11113,013,880
11113,015,0.26
11113,020,5
11126,001,0
11126,005,0
11126,008,69
11126,009,0
11126,011,43
11126,012,0
11126,013,2390
11126,015,0.44
11126,020,24.5
11127,001,0
11127,005,0
11127,008,56
11127,009,0
11127,011,52
11127,013,800
11127,015,0.53
11127,020,24.5
11128,001,0
11128,005,0
11128,008,50
11128,009,0
11128,011,69.7
11128,012,0
11128,013,1460
11128,015,0.35
11128,020,12.8
11129,001,0
11129,005,0
11129,008,35
11129,009,0
11129,011,93.9
11129,012,0
11129,013,1400
11129,015,0.2
11129,020,0.5
11130,001,0
11130,005,0
11130,008,15
11130,009,0
11130,011,84.9
11130,012,0
11130,013,1820
11130,015,0.03
11130,020,0.9
11131,001,0
11131,005,0
11131,008,18
11131,009,0
11131,011,88.6
11131,012,0
11131,013,1210
11131,015,0.08
11131,020,0.9
11133,001,0
11133,005,0
11133,008,11
11133,009,0
11133,011,95.4
11133,012,0
11133,013,1150
11133,015,-99
11133,020,0.6
11134,001,0
11134,005,-99
11134,008,51
11134,009,-99
11134,011,73.1
11134,012,0
11134,013,970
11134,015,0.24
11134,020,6.5
11135,001,0
11135,005,0
11135,008,37
11135,009,0
11135,011,79.9
11135,012,0
11135,013,1080
11135,015,0.45
11135,020,24.5
11136,001,0
11136,005,0
11136,008,100
11136,009,0
11136,011,89.1
11136,012,0
11136,013,610
11136,015,0.21
11136,020,4.7
11137,001,0
11137,005,-99
11137,008,120
11137,009,-99
11137,011,71.1
11137,012,-99
11137,013,790
11137,015,0.1
11137,020,6.5
11143,001,0
11143,005,0
11143,008,7
11143,009,0
11143,011,9
11143,012,0
11143,013,870
11143,015,0.03
11143,020,0.8
11144,001,0
11144,005,0
11144,008,26
11144,009,0
11144,011,67.3
11144,012,0
11144,013,50
11144,015,0.56
11144,020,5.6
11145,001,0
11145,005,0
11145,008,65
11145,009,0
11145,011,69.5
11145,012,0
11145,013,66
11145,015,0.41
11145,020,7.2
11146,001,0
11146,005,0
11146,008,20
11146,009,0
11146,011,89.7
11146,012,0
11146,013,1980
11146,015,0.1
11146,020,0.5
11147,001,0
11147,005,0
11147,008,20
11147,009,0
11147,011,96.3
11147,012,0
11147,013,1400
11147,015,0.13
11147,020,0.3
11148,001,0
11148,005,0
11148,008,38
11148,009,0
11148,011,68.3
11148,012,0
11148,013,53
11148,015,0.4
11148,020,9.8
11149,001,0
11149,005,0
11149,008,40
11149,009,0
